Trinity.gene	50RH_Bag1_1	50RH_Bag1_2	50RH_Bag1_3	85RH_Bag1_1	85RH_Bag1_2	100RH_Bag1_1	100RH_Bag1_2	100RH_Bag1_3	50RH_Bag2_1	85RH_Bag2_1	100RH_Bag2_1	50RH_Bag3_1	85RH_Bag3_1	100RH_Bag3_1	50RH_Bag4_1	85RH_Bag4_1	100RH_Bag4_1	100RH_Bag4_2	100RH_Bag4_3
TRINITY_DN32833_c0_g2	0	0	0	0	0	0.612	0.189	0.595	0	0	0.911	0	0	0.693	0	0	4.51	1.734	1.631
TRINITY_DN80275_c0_g1	0	0	0	0	0	3.105	0.736	2.896	0	0	1.127	0	0	0.815	0	0	5.959	1.592	1.469
TRINITY_DN2026_c0_g1	0	0	0	0	0	2.35	1.989	1.029	0	0	4.177	2.159	0	2.753	0	0	5.117	3.952	2.744
TRINITY_DN19766_c0_g1	0	0	0	0	0	17.809	0.643	9.1	0	0	5.974	0	0	3.413	0	0	21.492	6.531	7.796
TRINITY_DN7474_c0_g2	0	0	0	0	0	0.382	0.241	0.566	0	0	0.049	0	0	0.113	0	0	0.791	0.234	0.891
TRINITY_DN31667_c0_g1	0	0	0	0	0	1.745	0.147	1.052	0	0	0.631	0	0	0.155	0	0	3.119	0.694	1.835
TRINITY_DN102250_c0_g1	0	0	0	0	0	0.618	0.051	0.079	0	1.383	0.109	0	0	0.43	0	0	0.662	0.219	0.087
TRINITY_DN10958_c0_g2	0	0	0	0	0	0.011	0	0.041	0	0	0.836	0	0	1.191	1.338	0	1.563	1.467	0.279
TRINITY_DN12990_c0_g1	0	0	0	0	0	1.69	0.448	0.936	0	13.043	1.191	2.883	0	0.886	0	0	4.087	2.92	3.361
TRINITY_DN9652_c0_g1	0	0	0	0	0	7.622	0.65	4.856	0	0	4.137	0	0	3.33	0	0	7.283	1.648	3.279
TRINITY_DN27440_c0_g1	0	0	0	0	0	0.095	0.17	0.025	3.044	7.51	1.831	0	0	1.55	0	0	1.405	0.99	1.145
TRINITY_DN8645_c0_g2	0	0	1.562	0	0	3.322	1.718	1.216	0	15.019	11.239	12.674	0	45.8	0	0	3.321	1.776	1.634
TRINITY_DN7252_c0_g1	0	0	0	0	0	3.229	1.56	1.123	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN2849_c0_g1	0	0	0	0	0	1.04	0.035	0.117	0	0	2.716	0	0	2.837	0	0	6.853	3.566	3.727
TRINITY_DN11727_c0_g1	0	0	0	0	0	0.197	0.245	0.292	0	1.779	0.999	0	0	2.423	0	0	7.147	5.081	5.294
TRINITY_DN16541_c0_g2	0	0	0	0	0	4.11	0.232	6.288	0	32.213	1.299	0	0	0.89	0	0	6.257	1.227	1.049
TRINITY_DN373_c0_g1	0	0	0	0.036	0	3.366	1.616	2.032	1.972	80.235	4.894	0	17.722	2.987	0	0	14.886	11.031	6.928
TRINITY_DN4732_c0_g1	0	0	0	0.899	0	4.853	1.246	4.037	0	2.964	1.739	0	0	1.007	0	0	6.33	2.938	1.371
TRINITY_DN2964_c0_g1	0	0	0	0	0	3.125	0.015	1.455	0	0	0.28	0	0	0.117	0	0	4.432	0.975	0.064
TRINITY_DN9365_c0_g1	0	0	0	0	0	3.885	0.109	3.842	0	0	1.376	0	0	0.861	0	0	6.889	1.553	3.167
TRINITY_DN4826_c0_g1	0	0	0	0	0	1.051	0.086	0.321	0	0	8.886	0	0	5.159	0	0	19.988	12.172	9.206
TRINITY_DN4804_c0_g1	0	0	0	0.827	0	9.628	5.403	5.245	0	0	14.689	0	0	12.88	0	0	27.304	19.681	20.097
